Roll, Pitch
67.612030, 89.213760
67.902992, 88.928925
67.134605, 88.623199
64.703377, 88.128227
63.271656, 87.969513
63.906616, 88.460396
63.447323, 88.425835
64.260880, 87.111244
64.909721, 88.758064
64.858894, 89.947479
66.241852, 89.008789
65.296371, 90.008385
67.781166, 89.306152
66.747429, 88.489845
66.756271, 88.442879
63.812431, 88.561699
63.512852, 87.944374
63.859104, 88.217255
64.215233, 88.498657
63.912590, 88.390045
62.700214, 88.032150
61.568085, 87.484215
60.630489, 88.328888
61.385502, 89.428009
60.962246, 90.158127
60.444569, 90.770348
65.306000, 89.628922
65.314644, 89.625000
64.499031, 90.069107
64.338753, 89.898605
64.049255, 89.454720
60.304596, 88.870613
60.374954, 88.930695
61.293320, 89.133308
60.923458, 89.886169
60.769428, 90.142693
61.988987, 90.236549
63.679939, 89.977776
62.825722, 89.571342
62.658291, 89.074387
59.734409, 88.885361
58.813789, 89.210800
58.030537, 88.875664
58.200100, 89.076683
58.570663, 89.148582
60.105473, 88.625191
60.222183, 89.090851
60.243912, 89.684349
60.081120, 89.785912
59.303795, 88.593910
58.698044, 88.794983
57.223156, 88.630783
56.135803, 88.577911
56.721603, 88.517967
56.042381, 87.930382
57.116535, 89.269852
58.456337, 89.829567
58.394661, 89.360298
58.684982, 88.867760
57.931728, 89.054504
56.402332, 88.792389
55.559196, 88.813950
54.092247, 88.801506
5454.676556, 88.509109
54.745621, 88.811180
54.743771, 89.102348
54.865623, 89.221436
54.545471, 89.355721
56.929146, 88.984390
55.295380, 88.392029
55.297688, 88.824173
52.985207, 89.401344
52.727009, 88.965782
52.527996, 88.673935
52.571533, 88.865372
51.919823, 88.305862
52.486206, 88.778358
52.943062, 89.378677
53.157516, 89.597237
54.033981, 89.572517
54.022770, 88.907272
54.220230, 88.285332
53.200085, 88.507591
50.686966, 88.211861
50.977531, 88.104904
50.720627, 87.914223
50.273247, 88.261482
50.828854, 88.436432
51.788704, 89.031006
52.272114, 89.269516
52.369732, 88.579926
52.428143, 88.250130
51.483501, 88.783859
52.033466, 88.676247
50.536339, 88.386215
50.329506, 88.008896
49.797760, 87.706215
50.167515, 88.599709
51.138493, 88.694405
51.448788, 87.762665
51.234066, 87.803276
49.297012, 87.544151
47.021534, 87.822639
47.162258, 87.822388
48.378723, 87.486526
48.425945, 87.745071
49.581356, 87.593468
49.182510, 87.773972
48.786243, 88.083061
49.021126, 88.503738
48.533203, 88.477615
48.263863, 88.494675
47.404125, 88.944382
47.981674, 89.114639
47.585255, 88.152908
47.708752, 88.527229
47.013641, 88.934166
47.714981, 88.710625
47.732018, 88.839661
47.571751, 89.127167
46.880238, 89.008842
47.467529, 88.480339
48.193115, 88.315926
47.421436, 88.317070
47.546284, 88.030815
45.633873, 88.132172
44.904720, 87.546799
44.644840, 88.316040
45.208923, 88.364410
45.109287, 87.835426
46.225273, 88.728371
46.188530, 88.274284
46.062435, 87.923012
45.285030, 88.551064
44.754211, 88.448616
44.865231, 88.607895
45.086147, 88.484863
45.231762, 88.108910
44.471233, 88.651497
43.860901, 88.225456
43.532162, 88.446045
43.427757, 87.640144
